corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-IE,temp_accommodation,Staycity Aparthotels Dublin Tivoli,https://www.staycity.com/dublin,Fáilte Ireland,https://www.discoverireland.ie/accommodation/staycity-aparthotels-dublin-tivoli,Fáilte Ireland,,
XX-IE,temp_accommodation,Staycity Aparthotels Dublin City Quay,https://www.staycity.com/dublin,Fáilte Ireland,https://www.discoverireland.ie/accommodation/staycity-aparthotels-dublin-city-quay,Fáilte Ireland,,
XX-IE,temp_accommodation,Staycity Aparthotels Dublin Castle,https://www.staycity.com/dublin,Fáilte Ireland,https://www.discoverireland.ie/accommodation/staycity-aparthotels-dublin-castle,Fáilte Ireland,,
XX-IE,temp_accommodation,Wellington Quay CityBreak Apartments,,Fáilte Ireland,https://www.discoverireland.ie/accommodation/wellington-quay-citybreak-apartments,Fáilte Ireland,,
XX-IE,temp_accommodation,Spencer Dock CityBreak Apartments,,Fáilte Ireland,https://www.discoverireland.ie/accommodation/spencer-dock-citybreak-apartments,Fáilte Ireland,,
XX-IE,temp_accommodation,Broc House Suites,https://brochouse.ie/,Fáilte Ireland,https://www.discoverireland.ie/accommodation/broc-house-suites,Fáilte Ireland,,
