corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-ID,movers,Santa Fe Relocation - Jakarta,https://www.santaferelo.com,FIDI Global Alliance - FAIM Accredited Affiliate,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-jakarta,FIDI FAIM Plus,,2027
XX-ID,movers,PT. Kellys Express,,FIDI Global Alliance - FAIM Accredited Affiliate,https://www.fidi.org/find-fidi-affiliate/pt-kellys-express,FIDI FAIM Plus,,2027
XX-ID,movers,Asian Tigers Indonesia,https://www.asiantigers-indonesia.com,FIDI Global Alliance - FAIM Accredited Affiliate,https://www.fidi.org/find-fidi-affiliate/asian-tigers-indonesia,FIDI FAIM Plus,,2026
XX-ID,schools,Jakarta Intercultural School,https://www.jisedu.or.id,IB World Schools (International Baccalaureate),https://www.ibo.org/en/school/000104,International Baccalaureate Organization (IBO),000104,
XX-ID,schools,Gandhi Memorial Intercontinental School Jakarta,https://www.gandhijkt.org,IB World Schools (International Baccalaureate),https://www.ibo.org/en/school/000902,International Baccalaureate Organization (IBO),000902,
XX-ID,schools,Mentari Intercultural School Jakarta,,IB World Schools (International Baccalaureate),https://www.ibo.org/en/school/003291,International Baccalaureate Organization (IBO),003291,
XX-ID,schools,North Jakarta Intercultural School,,IB World Schools (International Baccalaureate),https://www.ibo.org/en/school/061837,International Baccalaureate Organization (IBO),061837,
XX-ID,schools,ACG School Jakarta,https://www.jakarta.acgedu.com,IB World Schools (International Baccalaureate),https://www.ibo.org/en/school/003770,International Baccalaureate Organization (IBO),003770,
XX-ID,schools,Australian Independent School Indonesia (Jakarta Campus),https://www.ais-indonesia.com,IB World Schools (International Baccalaureate),https://www.ibo.org/en/school/050364,International Baccalaureate Organization (IBO),050364,
