corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
US-EC,housing_agencies,EDENCORP S.A.,https://www.inmobiliariaedencorp.com,CAINEC Great Place Inmobiliario,https://www.cainec.com/ficha.php?codigo=INMO-GP-2026-06-005,CAINEC,Great Place PLATINUM,2028-06-21
US-EC,housing_agencies,Ksa Inmobiliaria,https://www.ksa.com.ec,CAINEC Great Place Inmobiliario,https://www.cainec.com/ficha.php?codigo=INMO-GP-2026-06-003,CAINEC,Great Place GOLD,2028-06-21
US-EC,housing_agencies,Huasi360,https://www.huasi360.com,CAINEC Great Place Inmobiliario,https://www.cainec.com/ficha.php?codigo=INMO-GP-2026-06-006,CAINEC,Great Place GOLD,2028-06-21
US-EC,housing_agencies,IMMOBILLIS,https://www.immobillis.com,CAINEC Great Place Inmobiliario,https://www.cainec.com/ficha.php?codigo=INMO-GP-2026-06-004,CAINEC,Great Place SILVER,2028-06-21
