corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-FR,language,Alliance Française de Paris,https://www.alliancefr.org,Label Qualité FLE - centre directory,https://www.qualitefle.fr/centre/alliance-francaise-de-paris,Label Qualité FLE,,
XX-FR,language,Lutèce Langue,https://www.lutece-langue.com/fr,Label Qualité FLE - centre directory,https://www.qualitefle.fr/centre/lutece-langue,Label Qualité FLE,,
XX-FR,language,French As You Like It,https://www.frenchasyoulikeit.com/,Label Qualité FLE - centre directory,https://www.qualitefle.fr/centre/french-you-it,Label Qualité FLE,,
XX-FR,language,Eurocentres Paris - Centres langues et civilisations,https://www.eurocentres.com,Label Qualité FLE - centre directory,https://www.qualitefle.fr/en/center/eurocentres-paris-centres-langues-et-civilisations-eurocentres-france,Label Qualité FLE,,
XX-FR,language,Language Studies International (LSI) - Centre privé de langues,https://www.lsi-paris.fr,Label Qualité FLE - official register (France Education international / data.education.gouv.fr),https://data.education.gouv.fr/explore/dataset/fr-en-centres-et-etablissements-labellises-label-qualite-francais-langue-etrange/,Label Qualité FLE,,
XX-FR,language,ACCORD - Institut supérieur privé,https://www.accord-langues.com/,Label Qualité FLE - official register (France Education international / data.education.gouv.fr),https://data.education.gouv.fr/explore/dataset/fr-en-centres-et-etablissements-labellises-label-qualite-francais-langue-etrange/,Label Qualité FLE,,
