corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
ES-IE,movers,Cronin Relocations Ireland,https://ireland-relocations.com,,https://www.fidi.org/find-fidi-affiliate/cronin-relocations-ireland,FIDI-FAIM,,
ES-IE,movers,Irish Relo,http://www.irishrelo.com,,https://www.fidi.org/find-fidi-affiliate/irish-relo,FIDI-FAIM,,
ES-IE,movers,Get Cracking Relocations,https://www.getcracking.ie,,https://www.fidi.org/find-fidi-affiliate/get-cracking-relocations,FIDI-FAIM,,
