corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-IT,housing_agencies,Florence and Abroad S.r.l.,https://www.florenceandabroad.com,,https://www.registroimprese.it/,Registro Imprese (REA) — sezione agenti immobiliari,REA FI-357907,
XX-IT,housing_agencies,Apartments Florence S.r.l.,https://www.apartmentsflorence.it,,https://www.registroimprese.it/,Registro Imprese (REA) — sezione agenti immobiliari,REA FI-602633,
XX-IT,housing_agencies,Apartments in Florence (Konnettiamo Srl),https://apartmentsinflorence.net,,https://www.registroimprese.it/,Registro Imprese (REA) — sezione agenti immobiliari,REA FI-656840,
XX-IT,housing_agencies,Apartments Florence Real Estate SAS di Fagnoni Lorenzo e C.,https://www.apartmentsflorencere.com,,https://www.registroimprese.it/,Registro Imprese (REA) — sezione agenti immobiliari,REA FI-640122,
XX-IT,housing_agencies,House in Florence — Agency E.T. di Federico Pieri s.a.s.,https://www.houseinflorence.com,,https://www.registroimprese.it/,Registro Imprese (REA) — sezione agenti immobiliari,Nr. 2807 CCIAA Firenze (Ruolo Agenti Immobiliari),
XX-IT,housing_agencies,Tuscan Feeling RE srl,https://tuscanfeeling.com,,https://www.registroimprese.it/,Registro Imprese (REA) — sezione agenti immobiliari,REA FI-656381,
