corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-ES,legal_admin,Bolonia Abogacía,https://boloniaabogacia.com,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Sevilla (ICAS),8.538,
XX-ES,legal_admin,Peralta Rojas Abogados,https://peraltarojas.com,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Sevilla (ICAS),15.174,
XX-ES,legal_admin,Extranjería al Día — Germán Saldaña Espejo,https://extranjeriaaldia.es,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Sevilla (ICAS),8086,
XX-ES,legal_admin,Despacho Paula Schmid Porras,https://www.abogadaschmidporras.eu,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Sevilla (ICAS),13.737,
XX-ES,legal_admin,Marta Reina Grau — Abogada de Extranjería,https://www.pleitex.com/abogados/marta-reina-grau/,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Sevilla (ICAS),16.931,
