corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-ES,legal_admin,PFBernal Abogados (Abogacía Extranjería),https://abogaciaextranjeria.es,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Madrid (ICAM),68283,
XX-ES,legal_admin,LG Abogado de Extranjería (Lino García),https://extranjeria.abogado,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Madrid (ICAM),138891,
XX-ES,legal_admin,MigrationLaw,https://www.migrationlaw.es,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Madrid (ICAM),97778,
XX-ES,legal_admin,Iturralde García Abogados,https://abogadosextranjeria.es,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Madrid (ICAM),56732,
XX-ES,legal_admin,Lacaci & Delgado Abogados,https://www.lacaciabogados.com,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Madrid (ICAM),95851,
XX-ES,legal_admin,Lexey Abogados,https://lexeyabogados.com,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Madrid (ICAM),118271,
XX-ES,legal_admin,Ágreda Abogadas,https://agredabogadas.com,,https://www.abogacia.es/servicios/ciudadanos/servicios-de-orientacion-juridica-gratuita/censo-de-letrados/,Ilustre Colegio de Abogados de Madrid (ICAM),108649,
