corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-SE,housing_agencies,Residensportalen AB,https://www.residensportalen.se,,https://fmi.se/soktjanster/sok-maklare/,Fastighetsmäklarinspektionen (FMI),32848,
XX-SE,housing_agencies,Estate Fastighetsbyrå AB,https://estatefast.se,,https://fmi.se/soktjanster/sok-maklare/,Fastighetsmäklarinspektionen (FMI),31950,
XX-SE,housing_agencies,Victory Stockholm AB,https://victorystockholm.se,,https://fmi.se/soktjanster/sok-maklare/,Fastighetsmäklarinspektionen (FMI),44637,
XX-SE,housing_agencies,Quality Living Stockholm,https://qlstockholm.com,,https://fmi.se/soktjanster/sok-maklare/,Fastighetsmäklarinspektionen (FMI),32803,
