corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-NL,legal_admin,Everaert Advocaten,https://www.everaert.nl,,https://zoekeenadvocaat.advocatenorde.nl/,Nederlandse orde van advocaten (NOvA),mr. T.E. van Houwelingen-Boer — NOvA 11613905609,
XX-NL,legal_admin,De Vreede Immigration Law,https://devreede-law.nl,,https://zoekeenadvocaat.advocatenorde.nl/,Nederlandse orde van advocaten (NOvA),mr. E. de Vreede (Ester de Vreede) — NOvA 13918350753,
XX-NL,legal_admin,Kroes Advocaten Immigration Lawyers,https://www.kroesadvocaten.nl,,https://zoekeenadvocaat.advocatenorde.nl/,Nederlandse orde van advocaten (NOvA),mr. drs. S.M. Groen (Sander Groen) — NOvA 11420085760,
XX-NL,legal_admin,Matpanözer Advocatuur,https://www.matpanozeradvocatuur.nl,,https://zoekeenadvocaat.advocatenorde.nl/,Nederlandse orde van advocaten (NOvA),mr. L.K. Matpanözer (Lerna Matpanözer) — NOvA 11017333435,
XX-NL,legal_admin,Spuistraat 10 Advocaten,https://www.spuistraat10.nl,,https://zoekeenadvocaat.advocatenorde.nl/,Nederlandse orde van advocaten (NOvA),mr. B. Aydin (Bahattin Aydin) — NOvA 11831901571,
XX-NL,legal_admin,Prakken d'Oliveira Human Rights Lawyers,https://www.prakkendoliveira.nl,,https://zoekeenadvocaat.advocatenorde.nl/,Nederlandse orde van advocaten (NOvA),mr. E.E.M. Bezem (Eva Bezem) — NOvA 12075067103,
