corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-IT,banks,UniCredit S.p.A.,https://www.unicredit.it,,https://www.bancaditalia.it/servizi-cittadino/servizi/albi-elenchi/index.html,Banca d'Italia - Albo delle banche,02008,
XX-IT,banks,Intesa Sanpaolo S.p.A.,https://www.intesasanpaolo.com,,https://www.bancaditalia.it/servizi-cittadino/servizi/albi-elenchi/index.html,Banca d'Italia - Albo delle banche,03069,
XX-IT,banks,Banco BPM S.p.A.,https://www.bancobpm.it,,https://www.bancaditalia.it/servizi-cittadino/servizi/albi-elenchi/index.html,Banca d'Italia - Albo delle banche,05034,
XX-IT,banks,FinecoBank S.p.A.,https://www.finecobank.com,,https://www.bancaditalia.it/servizi-cittadino/servizi/albi-elenchi/index.html,Banca d'Italia - Albo delle banche,03015,
XX-IT,banks,Banca Mediolanum S.p.A.,https://www.bancamediolanum.it,,https://www.bancaditalia.it/servizi-cittadino/servizi/albi-elenchi/index.html,Banca d'Italia - Albo delle banche,03062,
XX-IT,banks,Deutsche Bank S.p.A.,https://www.db.com/italy,,https://www.bancaditalia.it/servizi-cittadino/servizi/albi-elenchi/index.html,Banca d'Italia - Albo delle banche,03104,
XX-IT,banks,BNL - Banca Nazionale del Lavoro S.p.A.,https://www.bnl.it,,https://www.bancaditalia.it/servizi-cittadino/servizi/albi-elenchi/index.html,Banca d'Italia - Albo delle banche,01005,
