corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-FI,movers,TRAVELCARGO INTERNATIONAL REMOVALS,https://www.travelcargo.fi,,https://www.fidi.org/find-fidi-affiliate/travelcargo-international-removals,FIDI-FAIM,,
XX-FI,movers,NIEMI SERVICES LTD,https://www.niemi.fi/en,,https://www.fidi.org/find-fidi-affiliate/niemi-services-ltd,FIDI-FAIM,,
XX-FI,movers,VICTOR EK MOVING LIMITED,https://www.victorek.fi,,https://www.fidi.org/find-fidi-affiliate/victor-ek-moving-limited,FIDI-FAIM,,
XX-FI,movers,ALFA MOBILITY FINLAND OY,https://www.alfamoving.com,,https://www.fidi.org/find-fidi-affiliate/alfa-mobility-4,FIDI-FAIM,,
