corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
NO-FR,movers,AGS France,https://www.agsmovers.com/,FIDI Affiliate Directory,https://www.fidi.org/find-fidi-affiliate/ags-france,FIDI,FAIM,2028-12-31
NO-FR,movers,Santa Fe Relocation Services France,https://www.santaferelocation.com/office/france/international-movers-paris/,FIDI Affiliate Directory,https://www.fidi.org/find-fidi-affiliate/santa-fe-relocation-paris,FIDI,FAIM,2029-12-31
NO-FR,movers,Gosselin Mobility Solutions,http://www.gosselin-moving.com,FIDI Affiliate Directory,https://www.fidi.org/find-fidi-affiliate/gosselin-5,FIDI,FAIM,2027-12-31
NO-FR,housing_agencies,1818 Immobilier,https://www.banqueprivee1818.com,FNAIM Annuaire,https://www.fnaim.fr/agence-immobiliere/27634/43-paris-02-1818-immobilier.htm,FNAIM,27634,
