corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-IT,movers,BOLLIGER S.P.A.,https://www.bolligermoving.com/,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/bolliger-spa,FIDI FAIM,,2028
XX-IT,movers,FMN LOGISTICS S.R.L. (Franzosini International Movers),http://www.franzosini.it,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/franzosini-international-movers,FIDI FAIM,,2026
XX-IT,movers,FERCAM S.P.A. (Fercam Removals & Relocation),https://www.fercam.com/en-int/welcome-1.html,FIDI Global Alliance,https://www.fidi.org/find-fidi-affiliate/fercam-removals-relocation,FIDI FAIM,,2027
