corridor,service_category,company_name,website_url,source_name,source_url,accreditation_body,accreditation_number,accreditation_expiry
XX-FR,medical,"AP-HP Annuaire des médecins (hospital-owned directory, tier-3)",https://www.aphp.fr/annuaire-medecins,AP-HP (clinic-owned site),https://www.aphp.fr/annuaire-medecins,Ordre des Médecins,,
XX-FR,medical,"Sante Pratique Paris (non-official info portal, tier-3)",https://sante-pratique-paris.fr/,Sante Pratique Paris,https://sante-pratique-paris.fr/acces-aux-soins-acces-aux-droits-dossier/sante-gere-medecin-traitant/,Ordre des Médecins,,
